geo_id,geo_display_label
5001500US1227,"Congressional District 27 (115th Congress), Florida"
5001500US1301,"Congressional District 1 (115th Congress), Georgia"
5001500US1302,"Congressional District 2 (115th Congress), Georgia"
5001500US1303,"Congressional District 3 (115th Congress), Georgia"
5001500US1304,"Congressional District 4 (115th Congress), Georgia"
5001500US1305,"Congressional District 5 (115th Congress), Georgia"
5001500US1306,"Congressional District 6 (115th Congress), Georgia"
5001500US1307,"Congressional District 7 (115th Congress), Georgia"
5001500US1308,"Congressional District 8 (115th Congress), Georgia"
5001500US1309,"Congressional District 9 (115th Congress), Georgia"
5001500US1310,"Congressional District 10 (115th Congress), Georgia"
5001500US1311,"Congressional District 11 (115th Congress), Georgia"
5001500US1312,"Congressional District 12 (115th Congress), Georgia"
5001500US1313,"Congressional District 13 (115th Congress), Georgia"
5001500US1314,"Congressional District 14 (115th Congress), Georgia"
5001500US1501,"Congressional District 1 (115th Congress), Hawaii"
5001500US1502,"Congressional District 2 (115th Congress), Hawaii"
5001500US1601,"Congressional District 1 (115th Congress), Idaho"
5001500US1602,"Congressional District 2 (115th Congress), Idaho"
5001500US1701,"Congressional District 1 (115th Congress), Illinois"
5001500US1702,"Congressional District 2 (115th Congress), Illinois"
5001500US1703,"Congressional District 3 (115th Congress), Illinois"
5001500US1704,"Congressional District 4 (115th Congress), Illinois"
5001500US1705,"Congressional District 5 (115th Congress), Illinois"
5001500US1706,"Congressional District 6 (115th Congress), Illinois"
5001500US1707,"Congressional District 7 (115th Congress), Illinois"
5001500US1708,"Congressional District 8 (115th Congress), Illinois"
5001500US1709,"Congressional District 9 (115th Congress), Illinois"
5001500US1710,"Congressional District 10 (115th Congress), Illinois"
5001500US1711,"Congressional District 11 (115th Congress), Illinois"
5001500US1712,"Congressional District 12 (115th Congress), Illinois"
5001500US1713,"Congressional District 13 (115th Congress), Illinois"
5001500US1714,"Congressional District 14 (115th Congress), Illinois"
5001500US1715,"Congressional District 15 (115th Congress), Illinois"
5001500US1716,"Congressional District 16 (115th Congress), Illinois"
5001500US1717,"Congressional District 17 (115th Congress), Illinois"
5001500US1718,"Congressional District 18 (115th Congress), Illinois"
5001500US1801,"Congressional District 1 (115th Congress), Indiana"
5001500US1802,"Congressional District 2 (115th Congress), Indiana"
5001500US1803,"Congressional District 3 (115th Congress), Indiana"
5001500US1804,"Congressional District 4 (115th Congress), Indiana"
5001500US1805,"Congressional District 5 (115th Congress), Indiana"
5001500US1806,"Congressional District 6 (115th Congress), Indiana"
5001500US1807,"Congressional District 7 (115th Congress), Indiana"
5001500US1808,"Congressional District 8 (115th Congress), Indiana"
5001500US1809,"Congressional District 9 (115th Congress), Indiana"
5001500US1901,"Congressional District 1 (115th Congress), Iowa"
5001500US1902,"Congressional District 2 (115th Congress), Iowa"
5001500US1903,"Congressional District 3 (115th Congress), Iowa"
5001500US1904,"Congressional District 4 (115th Congress), Iowa"
5001500US2001,"Congressional District 1 (115th Congress), Kansas"
5001500US2002,"Congressional District 2 (115th Congress), Kansas"
5001500US2003,"Congressional District 3 (115th Congress), Kansas"
5001500US2004,"Congressional District 4 (115th Congress), Kansas"
5001500US2101,"Congressional District 1 (115th Congress), Kentucky"
5001500US2102,"Congressional District 2 (115th Congress), Kentucky"
5001500US2103,"Congressional District 3 (115th Congress), Kentucky"
5001500US2104,"Congressional District 4 (115th Congress), Kentucky"
5001500US2105,"Congressional District 5 (115th Congress), Kentucky"
5001500US2106,"Congressional District 6 (115th Congress), Kentucky"
5001500US2201,"Congressional District 1 (115th Congress), Louisiana"
5001500US2202,"Congressional District 2 (115th Congress), Louisiana"
5001500US2203,"Congressional District 3 (115th Congress), Louisiana"
5001500US2204,"Congressional District 4 (115th Congress), Louisiana"
5001500US2205,"Congressional District 5 (115th Congress), Louisiana"
5001500US2206,"Congressional District 6 (115th Congress), Louisiana"
5001500US2301,"Congressional District 1 (115th Congress), Maine"
5001500US2302,"Congressional District 2 (115th Congress), Maine"
5001500US2401,"Congressional District 1 (115th Congress), Maryland"
5001500US2402,"Congressional District 2 (115th Congress), Maryland"
5001500US2403,"Congressional District 3 (115th Congress), Maryland"
5001500US2404,"Congressional District 4 (115th Congress), Maryland"
5001500US2405,"Congressional District 5 (115th Congress), Maryland"
5001500US2406,"Congressional District 6 (115th Congress), Maryland"
5001500US2407,"Congressional District 7 (115th Congress), Maryland"
5001500US2408,"Congressional District 8 (115th Congress), Maryland"
5001500US2501,"Congressional District 1 (115th Congress), Massachusetts"
